threshold,features,pr_auc,roc_auc,base_rate
k=1.5,Conventional,0.19043757648553522,0.5401042067708735,0.11580882352941177
k=1.5,Conv+Tail,0.176177561782876,0.5260571927238594,0.11580882352941177
k=2.0,Conventional,0.10914384214092418,0.5021239848368437,0.06311274509803921
k=2.0,Conv+Tail,0.11508447678288031,0.5403684113609377,0.06311274509803921
