model,features,pr_auc,roc_auc,lift
Logistic,Conventional,0.030144915311878483,0.5583970078908844,1.1788097359102194
Logistic,Conv+Tail,0.04000758229167052,0.5886964270837053,1.5644869799009442
Logistic,Tail only,0.03799873026029352,0.5447809178657717,1.4859312995120493
RandomForest,Conventional,0.033426793031307696,0.5600529927042048,1.307146782729042
RandomForest,Conv+Tail,0.035743440059762766,0.5822693136239749,1.3977387131941514
RandomForest,Tail only,0.03023355136699358,0.5381196367574773,1.1822758277416727
XGBoost,Conventional,0.0253560928773369,0.5041503017102867,0.9915439748032887
XGBoost,Conv+Tail,0.027237896988715683,0.5376634264053034,1.065131476530158
XGBoost,Tail only,0.025910101346799077,0.5151773068637602,1.0132083440948285
