iso3,date,year,risk_raw,risk_calibrated,actual_target,has_label
AGO,1991-01-31,1991,0.4383415599492825,0.04947667077727476,0.0,True
AGO,1991-02-28,1991,0.4383415599492825,0.04947667077727476,0.0,True
AGO,1991-03-31,1991,0.7425996649118025,0.0798743002030368,0.0,True
AGO,1991-04-30,1991,0.7426362156714033,0.07987881592689693,0.0,True
AGO,1991-05-31,1991,0.7426362156714033,0.07987881592689693,0.0,True
AGO,1991-06-30,1991,0.6302411331755404,0.06704894387812364,0.0,True
AGO,1991-07-31,1991,0.6297553382745389,0.06699787977105841,0.0,True
AGO,1991-08-31,1991,0.6297554604811291,0.06699789261220747,0.0,True
AGO,1991-09-30,1991,0.5972452924439209,0.06366158702685452,0.0,True
AGO,1991-10-31,1991,0.5972447244457839,0.06366153011240185,0.0,True
AGO,1991-11-30,1991,0.6614178725366187,0.07040255732806536,0.0,True
AGO,1991-12-31,1991,0.7014471946275976,0.07493568209112994,0.0,True
AGO,1992-01-31,1992,0.6493609846739274,0.06908762201353803,0.0,True
AGO,1992-02-29,1992,0.5225464546821127,0.05657425015846082,0.0,True
AGO,1992-03-31,1992,0.48764008404029663,0.05352270416805149,0.0,True
AGO,1992-04-30,1992,0.5850911370875608,0.062454520709056625,0.0,True
AGO,1992-05-31,1992,0.5570845348939569,0.05975399452041147,0.0,True
AGO,1992-06-30,1992,0.5456887934070966,0.05868676909605354,0.0,True
AGO,1992-07-31,1992,0.41479861560136977,0.047648323201608764,0.0,True
AGO,1992-08-31,1992,0.41479861560136977,0.047648323201608764,0.0,True
AGO,1992-09-30,1992,0.41479861560136977,0.047648323201608764,0.0,True
AGO,1992-10-31,1992,0.3251226778405423,0.04125584606472709,0.0,True
AGO,1992-11-30,1992,0.38336469756830854,0.045307051503505134,0.0,True
AGO,1992-12-31,1992,0.47747852712244837,0.052663959656193554,0.0,True
AGO,1993-01-31,1993,0.576542644226554,0.0616183753129443,0.0,True
AGO,1993-02-28,1993,0.6788371508254679,0.07234319922860864,0.0,True
AGO,1993-03-31,1993,0.6774285061439348,0.0721844497660498,0.0,True
AGO,1993-04-30,1993,0.6185015810961291,0.06582500682704552,0.0,True
AGO,1993-05-31,1993,0.4893438256230394,0.053667973150213696,0.0,True
AGO,1993-06-30,1993,0.4894190785451159,0.05367439813572987,0.0,True
AGO,1993-07-31,1993,0.36021493513485076,0.043653299250741115,0.0,True
AGO,1993-08-31,1993,0.30057218576959516,0.03965404611892077,0.0,True
AGO,1993-09-30,1993,0.35390062666401545,0.043212316961292324,0.0,True
AGO,1993-10-31,1993,0.5189542644160732,0.05625281841298631,0.0,True
AGO,1993-11-30,1993,0.5189841008686226,0.05625548111359555,0.0,True
AGO,1993-12-31,1993,0.5189841008686226,0.05625548111359555,0.0,True
AGO,1994-01-31,1994,0.3404353857868657,0.042286090552619754,0.0,True
AGO,1994-02-28,1994,0.5581653015058898,0.059856148024581425,0.0,True
AGO,1994-03-31,1994,0.6239779443978632,0.0663933532899431,0.0,True
AGO,1994-04-30,1994,0.6640054982865196,0.0706877655034353,0.0,True
AGO,1994-05-31,1994,0.5392010740700475,0.058087195533698135,0.0,True
AGO,1994-06-30,1994,0.5064143023364708,0.05514414848190579,0.0,True
AGO,1994-07-31,1994,0.4875717464857581,0.05351688513345828,0.0,True
AGO,1994-08-31,1994,0.4477090999596004,0.0502224963798334,0.0,True
AGO,1994-09-30,1994,0.31700426223359635,0.04071942240339257,0.0,True
AGO,1994-10-31,1994,0.32457840083025263,0.041219672485995416,0.0,True
AGO,1994-11-30,1994,0.42766183339898795,0.04863918221566531,0.0,True
AGO,1994-12-31,1994,0.4031127838016977,0.04676480756210336,0.0,True
AGO,1995-01-31,1995,0.4307517816912381,0.04888009878302195,1.0,True
AGO,1995-02-28,1995,0.3859870789720477,0.045498107891257314,1.0,True
AGO,1995-03-31,1995,0.4632947049065572,0.05148703554039423,1.0,True
AGO,1995-04-30,1995,0.6101740950146145,0.064969428064635,1.0,True
AGO,1995-05-31,1995,0.6357608867539127,0.06763169223701435,1.0,True
AGO,1995-06-30,1995,0.6899962998839221,0.07361221450858099,1.0,True
AGO,1995-07-31,1995,0.6208223910429567,0.06606531024750047,1.0,True
AGO,1995-08-31,1995,0.5957514011317212,0.06351206024265196,1.0,True
AGO,1995-09-30,1995,0.6708654362078031,0.07144904152861112,1.0,True
AGO,1995-10-31,1995,0.7126992478800556,0.0762574361703487,1.0,True
AGO,1995-11-30,1995,0.6193683095573922,0.06591465521302887,1.0,True
AGO,1995-12-31,1995,0.48861537604617566,0.053605816670474614,1.0,True
AGO,1996-01-31,1996,0.3679300800951972,0.04419794472793141,0.0,True
AGO,1996-02-29,1996,0.3988144625421022,0.04644376558208141,0.0,True
AGO,1996-03-31,1996,0.4573993251184707,0.05100521105656185,0.0,True
AGO,1996-04-30,1996,0.6207354761148953,0.06605629614776631,0.0,True
AGO,1996-05-31,1996,0.6432411926513424,0.0684289237967341,0.0,True
AGO,1996-06-30,1996,0.6106465362147985,0.06501768927362352,0.0,True
AGO,1996-07-31,1996,0.5955060257206117,0.06348753141609177,0.0,True
AGO,1996-08-31,1996,0.5017168460556729,0.054734163332413835,0.0,True
AGO,1996-09-30,1996,0.39797140047563073,0.046381043613574,0.0,True
AGO,1996-10-31,1996,0.25650270331420033,0.036927184773419046,0.0,True
AGO,1996-11-30,1996,0.24628179336159375,0.036320995609893846,0.0,True
AGO,1996-12-31,1996,0.23233371605938638,0.03550918578821539,0.0,True
AGO,1997-01-31,1997,0.35239602413348325,0.043107866885696206,0.0,True
AGO,1997-02-28,1997,0.43304784849111694,0.04905985076831907,0.0,True
AGO,1997-03-31,1997,0.4871730198041899,0.05348294492026811,0.0,True
AGO,1997-04-30,1997,0.5471972880937772,0.058827008392589274,0.0,True
AGO,1997-05-31,1997,0.6341246504642365,0.06745845834308858,0.0,True
AGO,1997-06-30,1997,0.7070566145660627,0.0755919558525163,0.0,True
AGO,1997-07-31,1997,0.8558771493895343,0.09503615069700093,0.0,True
AGO,1997-08-31,1997,0.8558842004942284,0.09503717009751404,0.0,True
AGO,1997-09-30,1997,0.8558842004942284,0.09503717009751404,0.0,True
AGO,1997-10-31,1997,0.7782776884301287,0.08439462968621736,0.0,True
AGO,1997-11-30,1997,0.7782776884301287,0.08439462968621736,0.0,True
AGO,1997-12-31,1997,0.7782776884301287,0.08439462968621736,0.0,True
AGO,1998-01-31,1998,0.159286259701767,0.031535404835176535,0.0,True
AGO,1998-02-28,1998,0.159286259701767,0.031535404835176535,0.0,True
AGO,1998-03-31,1998,0.159286259701767,0.031535404835176535,0.0,True
AGO,1998-04-30,1998,0.159286259701767,0.031535404835176535,0.0,True
AGO,1998-05-31,1998,0.159286259701767,0.031535404835176535,0.0,True
AGO,1998-06-30,1998,0.23448813951704026,0.03563342712463878,0.0,True
AGO,1998-07-31,1998,0.3363737685538016,0.04201045128157423,0.0,True
AGO,1998-08-31,1998,0.3844908526084641,0.045389004924292625,0.0,True
AGO,1998-09-30,1998,0.3222341812711009,0.04106421828399536,0.0,True
AGO,1998-10-31,1998,0.21552724078001395,0.034554214143374354,0.0,True
AGO,1998-11-30,1998,0.13971467878105187,0.030545957708746813,0.0,True
AGO,1998-12-31,1998,0.11370882891938754,0.029277642449596342,0.0,True
AGO,1999-01-31,1999,0.3034756903449104,0.03984033172085882,0.0,True
AGO,1999-02-28,1999,0.2961332286347786,0.039370860995957616,0.0,True
AGO,1999-03-31,1999,0.18417592657543813,0.032838568508513105,0.0,True
AGO,1999-04-30,1999,0.19705647483175567,0.033533242748069715,0.0,True
AGO,1999-05-31,1999,0.3795086823076549,0.045027504934376704,0.0,True
AGO,1999-06-30,1999,0.5085038194133387,0.05532744538782041,0.0,True
AGO,1999-07-31,1999,0.6619161287974249,0.07045739233721482,0.0,True
AGO,1999-08-31,1999,0.6870353341265585,0.07327351075825714,0.0,True
AGO,1999-09-30,1999,0.7028470526737827,0.0750989664327595,0.0,True
AGO,1999-10-31,1999,0.5770791469321562,0.061670542676928404,0.0,True
AGO,1999-11-30,1999,0.36586173765124874,0.0440512988483538,0.0,True
AGO,1999-12-31,1999,0.2772917536593579,0.03819030911542615,0.0,True
AGO,2000-01-31,2000,0.3394361043441618,0.04221811499182589,0.0,True
AGO,2000-02-29,2000,0.33259670454068396,0.04175566531732677,0.0,True
AGO,2000-03-31,2000,0.2340025764950773,0.03560538917337452,0.0,True
AGO,2000-04-30,2000,0.38794405749090755,0.04564118532869082,0.0,True
AGO,2000-05-31,2000,0.4636838696817274,0.05151899266112821,0.0,True
AGO,2000-06-30,2000,0.5978776201867403,0.06372497684440481,0.0,True
AGO,2000-07-31,2000,0.5346759755195865,0.05767240849794407,0.0,True
AGO,2000-08-31,2000,0.586045586419145,0.06254853189377849,0.0,True
AGO,2000-09-30,2000,0.4805801378530166,0.05292468515021062,0.0,True
AGO,2000-10-31,2000,0.4825315642025603,0.05308934870664579,0.0,True
AGO,2000-11-30,2000,0.3398282427763508,0.04224477752781153,0.0,True
AGO,2000-12-31,2000,0.3563486752827688,0.04338277803455226,0.0,True
AGO,2001-01-31,2001,0.5926087588145347,0.06319857464058388,0.0,True
AGO,2001-02-28,2001,0.5893520609852809,0.0628752346145534,0.0,True
AGO,2001-03-31,2001,0.42886654257084283,0.048732976478682785,0.0,True
AGO,2001-04-30,2001,0.3668551982184902,0.04412167737690454,0.0,True
AGO,2001-05-31,2001,0.41963896149837393,0.0480189065568849,0.0,True
AGO,2001-06-30,2001,0.4371697690826672,0.0493841171347324,0.0,True
AGO,2001-07-31,2001,0.37833781395460786,0.044942947173364854,0.0,True
AGO,2001-08-31,2001,0.4587325768167583,0.05111380187695109,0.0,True
