iso3,date,year,actual_target,risk_raw,risk_calibrated
AGO,2002-01-31,2002,0,0.06689453379745648,0.007774624158775563
AGO,2002-02-28,2002,0,0.06321268285319953,0.007685580226375326
AGO,2002-03-31,2002,0,0.009751551294504153,0.006501119207943112
AGO,2002-04-30,2002,0,0.010085359178455343,0.006507920721045625
AGO,2002-05-31,2002,0,0.010119512745159554,0.006508617016642567
AGO,2002-06-30,2002,0,0.00018465304354101417,0.006309161879840082
AGO,2002-07-31,2002,0,0.00019119800700292304,0.0063092912584406455
AGO,2002-08-31,2002,0,0.00018270442004512182,0.0063091233606261555
AGO,2002-09-30,2002,0,0.00015446947788899768,0.006308565255542616
AGO,2002-10-31,2002,0,0.00017786598368668206,0.006309027718345052
AGO,2002-11-30,2002,0,0.00017471996044331862,0.006308965531085079
AGO,2002-12-31,2002,0,0.019690569762802843,0.006706689196720054
AGO,2003-01-31,2003,0,0.3210754587674344,0.024691545160370535
AGO,2003-02-28,2003,0,0.3128099731645034,0.024101323071105553
AGO,2003-03-31,2003,0,0.3384527587565902,0.025978720583378394
AGO,2003-04-30,2003,0,0.3330117617976305,0.025568822976933463
AGO,2003-05-31,2003,0,0.3482203123141836,0.026730661713934976
AGO,2003-06-30,2003,0,0.3642332852704862,0.028009413255694945
AGO,2003-07-31,2003,0,0.3475885460983546,0.0266813922749663
AGO,2003-08-31,2003,0,0.3145119895138031,0.02422172491375605
AGO,2003-09-30,2003,0,0.22065527342085173,0.018386410605450373
AGO,2003-10-31,2003,0,0.22853816446029224,0.01881817409401266
AGO,2003-11-30,2003,0,0.24040039812107672,0.01948669774291593
AGO,2003-12-31,2003,0,0.25121325050346144,0.020116326872852665
AGO,2004-01-31,2004,0,0.2179191598072575,0.020998097901987766
AGO,2004-02-29,2004,0,0.2235566213662276,0.021274734573661608
AGO,2004-03-31,2004,0,0.3330567650390134,0.027410979730623557
AGO,2004-04-30,2004,0,0.28155744401433414,0.02433593601291787
AGO,2004-05-31,2004,0,0.23742795032879135,0.021970682174235052
AGO,2004-06-30,2004,0,0.2331359696338334,0.02175300148662271
AGO,2004-07-31,2004,0,0.3145269290496428,0.026263333913788964
AGO,2004-08-31,2004,0,0.29577451274079514,0.02514954852068803
AGO,2004-09-30,2004,0,0.3287403345830568,0.02713936242129667
AGO,2004-10-31,2004,0,0.3584606971343438,0.029063871280151296
AGO,2004-11-30,2004,0,0.3758271905650295,0.030249038126015784
AGO,2004-12-31,2004,0,0.4116960736761753,0.032846851249467596
AGO,2005-01-31,2005,0,0.4833641969213144,0.02077760614502922
AGO,2005-02-28,2005,0,0.48267351821831506,0.020772306231226077
AGO,2005-03-31,2005,0,0.5166300290339151,0.02103444398161788
AGO,2005-04-30,2005,0,0.500858948153321,0.02091229409271641
AGO,2005-05-31,2005,0,0.46725000461268756,0.020654298222259188
AGO,2005-06-30,2005,0,0.49797456501045745,0.020890029231959286
AGO,2005-07-31,2005,0,0.5072023119548632,0.020961340920904917
AGO,2005-08-31,2005,0,0.5153335535328812,0.021024376260950318
AGO,2005-09-30,2005,0,0.5147295512011072,0.02101968751893717
AGO,2005-10-31,2005,0,0.3693905770386846,0.019920707781897046
AGO,2005-11-30,2005,0,0.18474433669093096,0.018605413763790612
AGO,2005-12-31,2005,0,0.18527622406994224,0.018609077420190606
AGO,2006-01-31,2006,0,0.02651125318707473,0.009398395933755263
AGO,2006-02-28,2006,0,0.031809869732434104,0.009352956704788064
AGO,2006-03-31,2006,0,0.03180008699527532,0.009353040397548586
AGO,2006-04-30,2006,0,0.030518581574026857,0.009364010281589712
AGO,2006-05-31,2006,0,0.034540750626320914,0.009329622599787781
AGO,2006-06-30,2006,0,0.034388629047097136,0.009330920889815512
AGO,2006-07-31,2006,0,0.05430604910856929,0.009162447832120155
