iso3,date,year,month,exchange_rate,depreciation,log_depreciation,is_structural_break
CHL,2000-09-30,2000,9,565.37,0.016048450866220865,0.01592103587971389,False
CHL,2000-10-31,2000,10,571.94,0.011620708562534388,0.011553706701942876,False
CHL,2000-11-30,2000,11,580.37,0.014739308319054345,0.014631740410414013,False
CHL,2000-12-31,2000,12,572.68,-0.013250167996278317,-0.013338734691313943,False
CHL,2001-01-31,2001,1,563.62,-0.01582035342599697,-0.01594683093682298,False
CHL,2001-02-28,2001,2,567.21,0.006369539760831877,0.0063493399726436105,False
CHL,2001-03-31,2001,3,592.91,0.045309497364291795,0.0443130112937736,False
CHL,2001-04-30,2001,4,599.89,0.011772444384476666,0.011703688253482392,False
CHL,2001-05-31,2001,5,610.53,0.017736585040590835,0.01758112731736363,False
CHL,2001-06-30,2001,6,626.65,0.026403288945670234,0.026060738664964576,False
CHL,2001-07-31,2001,7,664.38,0.06020904811298178,0.05846610388054068,False
CHL,2001-08-31,2001,8,660.57,-0.005734669917818014,-0.005751176273267972,False
CHL,2001-09-30,2001,9,696.23,0.05398368076055515,0.05257696684992698,False
CHL,2001-10-31,2001,10,716.62,0.029286299067836863,0.028865648539641253,False
CHL,2001-11-30,2001,11,681.9,-0.048449666489911,-0.04966269452776491,False
CHL,2001-12-31,2001,12,656.2,-0.03768881067605212,-0.03841739899960586,False
CHL,2002-01-31,2002,1,678.19,0.0335111246571167,0.032961864142824635,False
CHL,2002-02-28,2002,2,675.3,-0.0042613426915762975,-0.004270448089029869,False
CHL,2002-03-31,2002,3,664.44,-0.016081741448245035,-0.016212455957919935,False
CHL,2002-04-30,2002,4,649.09,-0.023102161218469752,-0.023373198648821536,False
CHL,2002-05-31,2002,5,654.44,0.008242308462616865,0.008208526140821138,False
CHL,2002-06-30,2002,6,697.62,0.06598007456756916,0.06389463379369593,False
CHL,2002-07-31,2002,7,700.98,0.004816375677302753,0.004804814048540128,False
CHL,2002-08-31,2002,8,715.16,0.020228822505634847,0.020026937926507213,False
CHL,2002-09-30,2002,9,747.62,0.04538844454387836,0.044388533613896074,False
CHL,2002-10-31,2002,10,733.24,-0.019234370402075873,-0.019421757646351328,False
CHL,2002-11-30,2002,11,705.1,-0.03837761169603404,-0.039133433126169084,False
CHL,2002-12-31,2002,12,712.38,0.010324776627428589,0.010271840180760826,False
CHL,2003-01-31,2003,1,734.34,0.030826244420112836,0.0303606597165462,False
CHL,2003-02-28,2003,2,753.54,0.026145926954816545,0.025809965635788263,False
CHL,2003-03-31,2003,3,727.36,-0.03474268121134905,-0.03536056159391194,False
CHL,2003-04-30,2003,4,705.32,-0.030301363836339634,-0.030769940124455632,False
CHL,2003-05-31,2003,5,710.12,0.006805421652583243,0.006782369298874172,False
CHL,2003-06-30,2003,6,697.23,-0.01815186165718463,-0.018318627858566295,False
CHL,2003-07-31,2003,7,705.64,0.012062016838059186,0.011989850448174601,False
CHL,2003-08-31,2003,8,699.39,-0.008857207641290166,-0.008896665870834897,False
CHL,2003-09-30,2003,9,665.13,-0.04898554454596149,-0.05022601628514187,False
CHL,2003-10-31,2003,10,628.1,-0.05567332701877825,-0.057283120811893254,False
CHL,2003-11-30,2003,11,624.51,-0.005715650374144343,-0.005732047212658289,False
CHL,2003-12-31,2003,12,599.42,-0.04017549759011074,-0.04100482122173674,False
CHL,2004-01-31,2004,1,596.78,-0.004404257448867188,-0.004413984762274041,False
CHL,2004-02-29,2004,2,594.32,-0.004122122055028488,-0.0041306414201152,False
CHL,2004-03-31,2004,3,623.21,0.048610176335980526,0.04746564579734224,False
CHL,2004-04-30,2004,4,624.84,0.002615490765552453,0.0026120763219148117,False
CHL,2004-05-31,2004,5,632.32,0.011971064592535718,0.011899978156640314,False
