iso3,date,depreciation,reserve_growth,emp,emp_crisis_15,emp_crisis_20
ARG,1990-02-28,2.1983914209115283,-0.25901348936857804,18.794091194434326,1,1
ARG,1990-03-31,-0.2196144174350377,0.2371964286172319,-4.273874266060973,0,0
ARG,1990-04-30,0.0751879699248119,0.3563262664429767,-3.4984128825965546,0,0
ARG,1990-05-31,0.0,0.4255982144062045,-4.826283489171008,0,0
ARG,1990-06-30,0.0519480519480519,0.25568103053077507,-2.5247242404269987,0,0
ARG,1990-07-31,0.0341880341880342,-0.05548159957323551,0.8757577459827062,0,0
ARG,1990-08-31,0.1377410468319559,-0.01927689748470407,1.2121187245153109,0,0
ARG,1990-09-30,-0.0944309927360774,0.19185008288201866,-2.85670546351471,0,0
ARG,1990-10-31,-0.0080213903743316,0.0018536094667342962,-0.07887778501820375,0,0
ARG,1990-11-30,-0.0790655884995508,0.16135369359650253,-2.4000465983254133,0,0
ARG,1990-12-31,0.0897560975609756,0.21179870157699843,-1.7543912695604265,0,0
ARG,1991-01-31,0.6866606982990151,-0.10327673172333363,6.124004542137468,1,1
ARG,1991-02-28,0.0594479830148619,-0.13495190816055835,1.9591496407117144,0,0
ARG,1991-03-31,-0.0355711422845691,-0.3392714718762887,3.590765557188884,1,1
ARG,1991-04-30,0.0187012987012986,0.036962385959584454,-0.28426197823104243,0,0
ARG,1991-05-31,0.0101988781234063,0.22052138860547532,-2.4271484547931177,0,0
ARG,1991-06-30,0.006562342251388,0.09340822722818642,-1.0119154195901918,0,0
ARG,1991-07-31,-0.0015045135406218,0.0706987820477567,-0.8125761196399498,0,0
ARG,1991-08-31,0.0005022601707684,-0.04341519987876552,0.49595111531783437,0,0
ARG,1991-09-30,-0.0055220883534136,0.26239894954164145,-3.0154344506923416,0,0
ARG,1991-10-31,0.0,-0.002286112984155819,0.02592451983193716,0,0
ARG,1991-11-30,0.0,0.14469078373153987,-1.6407933983770109,0,0
ARG,1991-12-31,0.0080767289247853,0.2484181255861464,-2.7588043823277157,0,0
ARG,1992-01-31,-0.0080120180270405,0.0058092896164854135,-0.12366759324547255,0,0
ARG,1992-02-29,0.0,-0.035727103419798456,0.4051453307703648,0,0
ARG,1992-03-31,0.0020191822311963,0.11856409075567953,-1.3299524639319593,0,0
ARG,1992-04-30,-0.0020151133501259,0.08577838682862016,-0.9872617573671094,0,0
ARG,1992-05-31,0.0,0.10110981842444011,-1.1465852786431239,0,0
ARG,1992-06-30,0.0,0.013333539866103639,-0.1512023338673135,0,0
ARG,1992-07-31,0.0,0.08038066194804006,-0.9115166569712153,0,0
ARG,1992-08-31,0.0,0.018855837955259913,-0.21382519079626164,0,0
ARG,1992-09-30,0.0,0.0007800253585183992,-0.008845487085053814,0,0
ARG,1992-10-31,0.0,0.03643287746744117,-0.4131488080358318,0,0
ARG,1992-11-30,0.0,-0.04512753282159143,0.5117461943954396,0,0
ARG,1992-12-31,0.0,0.16104887634836218,-1.8262941585741588,0,0
ARG,1993-01-31,0.008884401817264,0.029942542649038728,-0.2754657055378614,0,0
ARG,1993-02-28,0.0002001400980686,0.015895186949785423,-0.17880781051847536,0,0
ARG,1993-03-31,0.0,0.004839578231383701,-0.05488081416240565,0,0
ARG,1993-04-30,-0.0010005002501251,-0.05109534042870878,0.5722045748071962,0,0
ARG,1993-05-31,0.00100150225338,-0.00019127223517323433,0.00939280860070537,0,0
ARG,1993-06-30,-0.0010005002501251,-0.0023832767496743124,0.019809802696649743,0,0
ARG,1993-07-31,0.000200300450676,0.13106823757168118,-1.4848689770022259,0,0
ARG,1993-08-31,0.0008010413537598,0.12797500306306708,-1.4454585879467179,0,0
ARG,1993-09-30,0.0,-0.08070894050938182,0.9152393356545906,0,0
ARG,1993-10-31,0.0,0.014743553067908755,-0.16719188270712643,0,0
ARG,1993-11-30,-0.0010005002501251,0.011178185934706875,-0.13397717578951632,0,0
ARG,1993-12-31,0.0,0.15281237611935583,-1.7328922510514306,0,0
ARG,1994-01-31,0.0,0.0013954032346592538,-0.01582387182137951,0,0
ARG,1994-02-28,0.00100150225338,-0.010769454271555623,0.12934938637645416,0,0
ARG,1994-03-31,0.0,-0.03181558244634153,0.3607886853411069,0,0
ARG,1994-04-30,-0.0010005002501251,-0.030069619961362593,0.33377291766066075,0,0
ARG,1994-05-31,0.0,0.026208532809498974,-0.2972047459136087,0,0
ARG,1994-06-30,0.0,0.0061867872197756135,-0.07015816326080421,0,0
ARG,1994-07-31,0.0,0.04258034731470728,-0.4828611123166002,0,0
ARG,1994-08-31,0.00100150225338,-0.016272947267674365,0.1917589935619418,0,0
ARG,1994-09-30,0.0,-0.03807580901947871,0.43177965082378805,0,0
ARG,1994-10-31,0.0,-0.006305920724533287,0.07150913713136248,0,0
