iso3,date,year,month,target,dep_1m,dep_mean_3m,dep_vol_3m,dep_cum_3m,dep_mean_6m,dep_vol_6m,dep_cum_6m,dep_mean_12m,dep_vol_12m,dep_cum_12m,dep_skew_6m,dep_kurt_6m,dep_max_6m,dep_es90_6m,dep_skew_12m,dep_kurt_12m,dep_max_12m,dep_es90_12m,extreme_count_3m,extreme_count_6m,extreme_count_12m,macro_current_account_pct_gdp,macro_exports_vol_pct,macro_fiscal_balance_pct_gdp,macro_gdp_growth_pct,macro_gdp_usd_bn,macro_govt_gross_debt_pct_gdp,macro_gross_savings_pct_gdp,macro_imports_vol_pct,macro_inflation_avg_pct,macro_inflation_eop_pct,macro_investment_pct_gdp
AGO,1990-01-31,1990,1,1,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
AGO,1990-02-28,1990,2,1,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
AGO,1990-03-31,1990,3,1,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,
AGO,1990-04-30,1990,4,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,
AGO,1990-05-31,1990,5,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,-3.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,
AGO,1990-06-30,1990,6,1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,-3.0,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,
AGO,1990-07-31,1990,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,
AGO,1990-08-31,1990,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,
AGO,1990-09-30,1990,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,
AGO,1990-10-31,1990,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,
AGO,1990-11-30,1990,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,
AGO,1990-12-31,1990,12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,
AGO,1991-01-31,1991,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
AGO,1991-02-28,1991,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
AGO,1991-03-31,1991,3,0,1.0,0.3333333333333333,0.5773502691896258,1.0,0.1666666666666666,0.408248290463863,1.0,0.0833333333333333,0.2886751345948128,1.0,2.4494897427831783,6.000000000000001,1.0,1.0,3.4641016151377544,11.999999999999996,1.0,0.0833333333333333,1.0,1.0,1.0,,,,,,,,,,,
AGO,1991-04-30,1991,4,0,0.0,0.3333333333333333,0.5773502691896258,1.0,0.1666666666666666,0.408248290463863,1.0,0.0833333333333333,0.2886751345948128,1.0,2.4494897427831783,6.000000000000001,1.0,1.0,3.4641016151377544,11.999999999999996,1.0,0.0833333333333333,1.0,1.0,1.0,,,,,,,,,,,
AGO,1991-05-31,1991,5,0,0.0,0.3333333333333333,0.5773502691896258,1.0,0.1666666666666666,0.408248290463863,1.0,0.0833333333333333,0.2886751345948128,1.0,2.4494897427831783,6.000000000000001,1.0,1.0,3.4641016151377544,11.999999999999996,1.0,0.0833333333333333,1.0,1.0,1.0,,,,,,,,,,,
AGO,1991-06-30,1991,6,0,0.0,0.0,0.0,0.0,0.1666666666666666,0.408248290463863,1.0,0.0833333333333333,0.2886751345948128,1.0,2.4494897427831783,6.000000000000001,1.0,1.0,3.4641016151377544,11.999999999999996,1.0,0.0833333333333333,0.0,1.0,1.0,,,,,,,,,,,
AGO,1991-07-31,1991,7,0,0.002740824921452,0.0009136083071506,0.0015824160062019,0.002740824921452,0.167123470820242,0.4080259759199712,1.005481649842904,0.083561735410121,0.2886042821808305,1.005481649842904,2.449449997335471,5.999848225305537,1.0,1.0,3.4640552080894453,11.99976733048527,1.0,0.501370412460726,0.0,1.0,1.0,,,,,,,,,,,
AGO,1991-08-31,1991,8,0,0.0,0.0009136083071506,0.0015824160062019,0.002740824921452,0.167123470820242,0.4080259759199712,1.005481649842904,0.083561735410121,0.2886042821808305,1.005481649842904,2.449449997335471,5.999848225305537,1.0,1.0,3.4640552080894453,11.999767330485271,1.0,0.501370412460726,0.0,1.0,1.0,,,,,,,,,,,
AGO,1991-09-30,1991,9,0,0.0,0.0009136083071506,0.0015824160062019,0.002740824921452,0.0004568041535753,0.0011189370886551,0.002740824921452,0.083561735410121,0.2886042821808305,1.005481649842904,2.4494896930021803,5.999886585223061,0.002740824921452,0.002740824921452,3.4640552080894453,11.999767330485271,1.0,0.501370412460726,0.0,0.0,1.0,,,,,,,,,,,
AGO,1991-10-31,1991,10,0,0.0,0.0,0.0,0.0,0.0004568041535753,0.0011189370886551,0.002740824921452,0.083561735410121,0.2886042821808305,1.005481649842904,2.4494896930021803,5.999886585223061,0.002740824921452,0.002740824921452,3.4640552080894453,11.999767330485271,1.0,0.501370412460726,0.0,0.0,1.0,,,,,,,,,,,
AGO,1991-11-30,1991,11,0,0.5,0.1666666666666666,0.2886751345948129,0.5,0.0837901374869086,0.2039033051624224,0.5041112373821779,0.1252284020767876,0.3106915570554271,2.008222474764356,2.449330766019944,5.999391593895761,0.5,0.5,2.5554113712773536,6.244137259810222,1.0,0.75,1.0,1.0,2.0,,,,,,,,,,,
AGO,1991-12-31,1991,12,0,1.0,0.5,0.5,2.0,0.2504568041535753,0.4180037912843173,2.008222474764356,0.208561735410121,0.396350572828224,5.016444949528712,1.5374933261662234,1.4329991984522072,1.0,1.0,1.6380612282844735,1.131206242545304,1.0,1.0,2.0,2.0,3.0,,,,,,,,,,,
AGO,1992-01-31,1992,1,0,0.0,0.5,0.5,2.0,0.25,0.4183300132670378,2.0,0.208561735410121,0.396350572828224,5.016444949528712,1.5367224977156488,1.428571428571428,1.0,1.0,1.6380612282844735,1.131206242545304,1.0,1.0,2.0,2.0,3.0,-1.425,14.6,,-3.45,16.529,,48.584,-15.8,1.833,1.833,4.354
AGO,1992-02-29,1992,2,0,0.0,0.3333333333333333,0.5773502691896258,1.0,0.25,0.4183300132670378,2.0,0.208561735410121,0.396350572828224,5.016444949528712,1.5367224977156488,1.428571428571428,1.0,1.0,1.6380612282844735,1.131206242545304,1.0,1.0,1.0,2.0,3.0,-1.425,14.6,,-3.45,16.529,,48.584,-15.8,1.833,1.833,4.354
AGO,1992-03-31,1992,3,0,0.0,0.0,0.0,0.0,0.25,0.4183300132670378,2.0,0.1252284020767876,0.3106915570554271,2.008222474764356,1.5367224977156488,1.428571428571428,1.0,1.0,2.5554113712773527,6.24413725981022,1.0,0.75,0.0,2.0,2.0,-1.425,14.6,,-3.45,16.529,,48.584,-15.8,1.833,1.833,4.354
AGO,1992-04-30,1992,4,0,2.055555555555556,0.6851851851851852,1.186775553334231,2.055555555555556,0.5925925925925927,0.8207694873960225,8.166666666666668,0.296524698373084,0.6339051687862797,8.19179089511331,1.3963939654445197,1.4288031916183863,2.055555555555556,2.055555555555556,2.383481829234089,5.617953896417132,2.055555555555556,1.527777777777778,1.0,3.0,3.0,-1.425,14.6,,-3.45,16.529,,48.584,-15.8,1.833,1.833,4.354
AGO,1992-05-31,1992,5,0,0.0,0.6851851851851852,1.186775553334231,2.055555555555556,0.5092592592592593,0.8566491327407708,5.111111111111112,0.296524698373084,0.6339051687862797,8.19179089511331,1.5686624457042495,1.6062580492581255,2.055555555555556,2.055555555555556,2.383481829234089,5.617953896417132,2.055555555555556,1.527777777777778,1.0,2.0,3.0,-1.425,14.6,,-3.45,16.529,,48.584,-15.8,1.833,1.833,4.354
AGO,1992-06-30,1992,6,0,0.0,0.6851851851851852,1.186775553334231,2.055555555555556,0.3425925925925926,0.8391770415090519,2.055555555555556,0.296524698373084,0.6339051687862797,8.19179089511331,2.4494897427831788,6.000000000000003,2.055555555555556,2.055555555555556,2.383481829234089,5.617953896417132,2.055555555555556,1.527777777777778,1.0,1.0,3.0,-1.425,14.6,,-3.45,16.529,,48.584,-15.8,1.833,1.833,4.354
AGO,1992-07-31,1992,7,0,0.0,0.0,0.0,0.0,0.3425925925925926,0.8391770415090519,2.055555555555556,0.2962962962962963,0.6340211280956494,8.166666666666668,2.4494897427831788,6.000000000000003,2.055555555555556,2.055555555555556,2.3831645582523446,5.616129029464073,2.055555555555556,1.527777777777778,0.0,1.0,3.0,-1.425,14.6,,-3.45,16.529,,48.584,-15.8,1.833,1.833,4.354
AGO,1992-08-31,1992,8,0,0.0,0.0,0.0,0.0,0.3425925925925926,0.8391770415090519,2.055555555555556,0.2962962962962963,0.6340211280956494,8.166666666666668,2.4494897427831788,6.000000000000003,2.055555555555556,2.055555555555556,2.3831645582523446,5.616129029464073,2.055555555555556,1.527777777777778,0.0,1.0,3.0,-1.425,14.6,,-3.45,16.529,,48.584,-15.8,1.833,1.833,4.354
AGO,1992-09-30,1992,9,0,0.0,0.0,0.0,0.0,0.3425925925925926,0.8391770415090519,2.055555555555556,0.2962962962962963,0.6340211280956494,8.166666666666668,2.4494897427831788,6.000000000000003,2.055555555555556,2.055555555555556,2.3831645582523446,5.616129029464073,2.055555555555556,1.527777777777778,0.0,1.0,3.0,-1.425,14.6,,-3.45,16.529,,48.584,-15.8,1.833,1.833,4.354
AGO,1992-10-31,1992,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2962962962962963,0.6340211280956494,8.166666666666668,0.0,-3.0,0.0,0.0,2.3831645582523446,5.616129029464073,2.055555555555556,1.527777777777778,0.0,0.0,3.0,-1.425,14.6,,-3.45,16.529,,48.584,-15.8,1.833,1.833,4.354
AGO,1992-11-30,1992,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2546296296296297,0.6358440104982468,5.111111111111112,0.0,-3.0,0.0,0.0,2.5843762221945177,6.44551143765331,2.055555555555556,1.527777777777778,0.0,0.0,2.0,-1.425,14.6,,-3.45,16.529,,48.584,-15.8,1.833,1.833,4.354
AGO,1992-12-31,1992,12,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1712962962962963,0.5933877766671154,2.055555555555556,0.0,-3.0,0.0,0.0,3.464101615137756,12.000000000000004,2.055555555555556,0.1712962962962963,0.0,0.0,1.0,-1.425,14.6,,-3.45,16.529,,48.584,-15.8,1.833,1.833,4.354
AGO,1993-01-31,1993,1,0,9.012727272727272,3.004242424242424,5.203500517041772,9.012727272727272,1.502121212121212,3.679430501507943,9.012727272727272,0.9223569023569024,2.615437638863666,29.594444444444445,2.4494897427831783,6.0,9.012727272727272,9.012727272727272,3.1899714329511415,10.423908608980664,9.012727272727272,5.534141414141414,1.0,1.0,2.0,-3.617,0.186,,12.084,16.022,,52.614,-3.886,85.265,175.72,9.5
AGO,1993-02-28,1993,2,0,0.2647539495187943,3.0924937407486888,5.1287812848979195,11.663636363636362,1.5462468703743444,3.659346150379683,11.663636363636362,0.9444197314834688,2.6080559223950597,37.69444444444444,2.4449296709459705,5.982218376544734,9.012727272727272,9.012727272727272,3.189756092154796,10.429802868163232,9.012727272727272,5.534141414141414,2.0,2.0,3.0,-3.617,0.186,,12.084,16.022,,52.614,-3.886,85.265,175.72,9.5
AGO,1993-03-31,1993,3,0,-0.425699928212491,2.9505937646778584,5.26130009041303,6.272727272727273,1.4752968823389292,3.699231342562779,6.272727272727273,0.908944737465761,2.624910564502459,21.222222222222225,2.429482067725866,5.925469273463384,9.012727272727272,9.012727272727272,3.1669285015782744,10.31633905625084,9.012727272727272,5.534141414141414,2.0,2.0,3.0,-3.617,0.186,,12.084,16.022,,52.614,-3.886,85.265,175.72,9.5
AGO,1993-04-30,1993,4,0,0.0,-0.0536486595645655,0.3483393077494279,-0.2736517159978208,1.4752968823389292,3.699231342562779,6.272727272727273,0.7376484411694646,2.6103128565907228,6.272727272727273,2.429482067725866,5.9254692734633885,9.012727272727272,9.012727272727272,3.443117905482249,11.8971362680461,9.012727272727272,4.638740611123033,1.0,2.0,2.0,-3.617,0.186,,12.084,16.022,,52.614,-3.886,85.265,175.72,9.5
AGO,1993-05-31,1993,5,0,0.0,-0.1418999760708303,0.2457779681474912,-0.4256999282124909,1.4752968823389292,3.699231342562779,6.272727272727273,0.7376484411694646,2.6103128565907228,6.272727272727273,2.429482067725866,5.9254692734633885,9.012727272727272,9.012727272727272,3.443117905482249,11.8971362680461,9.012727272727272,4.638740611123033,0.0,2.0,2.0,-3.617,0.186,,12.084,16.022,,52.614,-3.886,85.265,175.72,9.5
AGO,1993-06-30,1993,6,0,0.0,0.0,0.0,0.0,1.4752968823389292,3.699231342562779,6.272727272727273,0.7376484411694646,2.6103128565907228,6.272727272727273,2.429482067725866,5.9254692734633885,9.012727272727272,9.012727272727272,3.443117905482249,11.8971362680461,9.012727272727272,4.638740611123033,0.0,2.0,2.0,-3.617,0.186,,12.084,16.022,,52.614,-3.886,85.265,175.72,9.5
AGO,1993-07-31,1993,7,0,0.0,0.0,0.0,0.0,-0.0268243297822827,0.2222601244741458,-0.2736517159978208,0.7376484411694646,2.6103128565907228,6.272727272727273,-1.0545573244657809,3.085031520488002,0.2647539495187943,0.2647539495187943,3.443117905482249,11.8971362680461,9.012727272727272,4.638740611123033,0.0,1.0,2.0,-3.617,0.186,,12.084,16.022,,52.614,-3.886,85.265,175.72,9.5
