iso3,date,year,month,target,dep_1m,dep_mean_3m,dep_vol_3m,dep_cum_3m,dep_mean_6m,dep_vol_6m,dep_cum_6m,dep_mean_12m,dep_vol_12m,dep_cum_12m,dep_skew_6m,dep_kurt_6m,dep_max_6m,dep_es90_6m,dep_skew_12m,dep_kurt_12m,dep_max_12m,dep_es90_12m,extreme_count_3m,extreme_count_6m,extreme_count_12m,macro_current_account_pct_gdp,macro_exports_vol_pct,macro_fiscal_balance_pct_gdp,macro_gdp_growth_pct,macro_gdp_usd_bn,macro_govt_gross_debt_pct_gdp,macro_gross_savings_pct_gdp,macro_imports_vol_pct,macro_inflation_avg_pct,macro_inflation_eop_pct,macro_investment_pct_gdp
STP,2000-06-30,2000,6,0,0.0642718446601944,0.0336907884705641,0.0304588148783942,0.1035570469798659,0.0202545204428426,0.0246220798244826,0.1262328767123288,0.0112846676288287,0.0194410161941738,0.1418749999999999,1.4418428247678086,1.498535903894318,0.0642718446601944,0.0642718446601944,2.2340429182296933,5.040422321937877,0.0642718446601944,0.048858330356853,0.0,0.0,0.0,-17.135,-1.948,,2.5,0.073,,,-24.945,42.105,20.846,
STP,2000-07-31,2000,7,0,-0.003170954205437,0.0315152355027563,0.033762778921971,0.0963785953177258,0.0185844755638543,0.026013662204302,0.1150244897959185,0.0110204214450423,0.0196289850241418,0.1382541666666665,1.333962573780778,1.0925023467148935,0.0642718446601944,0.0642718446601944,2.196098336327874,4.895884601520333,0.0642718446601944,0.048858330356853,0.0,0.0,0.0,-17.135,-1.948,,2.5,0.073,,,-24.945,42.105,20.846,
STP,2000-08-31,2000,8,0,0.0009846951288705,0.0206951951945426,0.0377956431263796,0.0619417475728156,0.018748591418666,0.025875706914753,0.116122448979592,0.0111024793724482,0.019580725438514,0.1393749999999998,1.3436185230769453,1.1335133070740315,0.0642718446601944,0.0642718446601944,2.202050871759295,4.925800900589869,0.0642718446601944,0.048858330356853,0.0,0.0,0.0,-17.135,-1.948,,2.5,0.073,,,-24.945,42.105,20.846,
STP,2000-09-30,2000,9,0,0.0008654842445297,-0.0004402582773456,0.0023656030938236,-0.0013257921303899,0.0166252650966092,0.026885176182237,0.1020939597315435,0.0111746030594923,0.019537659427144,0.1403611111111109,1.4679779659306438,1.1725182290103175,0.0642718446601944,0.0642718446601944,2.2076812079453907,4.953271436233648,0.0642718446601944,0.048858330356853,0.0,0.0,0.0,-17.135,-1.948,,2.5,0.073,,,-24.945,42.105,20.846,
STP,2000-10-31,2000,10,0,0.0629612939371058,0.0216038244368353,0.0358166688206495,0.0649288688940055,0.0265595299697958,0.0316002282139242,0.1675652173913044,0.0152639701468437,0.0246295100552721,0.195554794520548,0.4014654585471082,-2.4411242856002477,0.0642718446601944,0.0642718446601944,1.5122360819088023,0.866173250788069,0.0642718446601944,0.06361656929865,0.0,0.0,0.0,-17.135,-1.948,,2.5,0.073,,,-24.945,42.105,20.846,
STP,2000-11-30,2000,11,0,-0.0096189652307923,0.0180692709836143,0.0392294686918232,0.0536478332419088,0.0193822330890785,0.0344826533877575,0.1189126213592233,0.0144623897109444,0.0253183399843805,0.1840547945205477,0.9129794161936504,-1.860672299965752,0.0642718446601944,0.0642718446601944,1.4264982602559682,0.7310536776233995,0.0642718446601944,0.06361656929865,0.0,0.0,0.0,-17.135,-1.948,,2.5,0.073,,,-24.945,42.105,20.846,
STP,2000-12-31,2000,12,0,-0.0038120690453051,0.0165100865536694,0.0403325676266899,0.0487236011984508,0.0080349141381619,0.027186744797984,0.0473332117010276,0.0141447172905023,0.0255392494242483,0.1795410958904109,2.335250588438021,5.588995209166296,0.0629612939371058,0.0629612939371058,1.4144255561014978,0.6934824652520848,0.0642718446601944,0.06361656929865,0.0,0.0,0.0,-17.135,-1.948,,2.5,0.073,,,-24.945,42.105,20.846,
STP,2001-01-31,2001,1,0,-0.0019022954132382,-0.0051111098964452,0.0040190021918364,-0.0152711814885048,0.008246357270195,0.027086911461809,0.0486661468647771,0.0134154164170247,0.0258890763883465,0.1692884353741499,2.3324668848285377,5.58546065349079,0.0629612939371058,0.0629612939371058,1.4357636343852975,0.6908276686871343,0.0642718446601944,0.06361656929865,0.0,0.0,0.0,-15.659,6.726,,2.5,0.078,,,40.284,11.011,9.6,
STP,2001-02-28,2001,2,0,0.0022189202806057,-0.0011651480593125,0.0030823282966554,-0.0035008561247623,0.0084520614621509,0.0270253519385802,0.0499591637715612,0.0136003264404085,0.0257922907194938,0.1718829931972794,2.3166812673233137,5.525954285240862,0.0629612939371058,0.0629612939371058,1.432604588394914,0.696324244149366,0.0642718446601944,0.06361656929865,0.0,0.0,0.0,-15.659,6.726,,2.5,0.078,,,40.284,11.011,9.6,
STP,2001-03-31,2001,3,0,0.0212414696273455,0.0071860314982376,0.0123455502287131,0.0215605093692117,0.0118480590259535,0.0271612379969599,0.0713346162278034,0.0142366620612814,0.0258864528152391,0.1807114093959732,1.7537840315468975,2.946306259735027,0.0629612939371058,0.0629612939371058,1.331319870828529,0.4337085013472743,0.0642718446601944,0.06361656929865,0.0,0.0,0.0,-15.659,6.726,,2.5,0.078,,,40.284,11.011,9.6,
STP,2001-04-30,2001,4,0,-0.1502108841217331,-0.0422501647379273,0.0939792639006815,-0.1302344469047398,-0.0236806373171862,0.0628736398431677,-0.1435167945185074,0.0014394463263047,0.0542138595820244,4.440892098500626e-16,-2.289430236610475,5.452944607791438,0.0212414696273455,0.0212414696273455,-2.031850866284855,6.182178011835781,0.0642718446601944,0.06361656929865,0.0,0.0,0.0,-15.659,6.726,,2.5,0.078,,,40.284,11.011,9.6,
STP,2001-05-31,2001,5,0,0.1998448160535118,0.0236251338530413,0.1750400231308568,0.0412731878690495,0.0112299928968644,0.1115516544087979,0.0376278402517473,0.0153061129929714,0.0788344075725448,0.161014886731392,0.5396540019831343,2.54254965507382,0.1998448160535118,0.1998448160535118,0.430549084412697,3.807777796064395,0.1998448160535118,0.1320583303568531,1.0,1.0,1.0,-15.659,6.726,,2.5,0.078,,,40.284,11.011,9.6,
STP,2001-06-30,2001,6,0,0.0007849398584431,0.0168062905967405,0.1755769377392854,0.020415401930357,0.0119961610474891,0.1114434129326562,0.0424160777641644,0.0100155375928255,0.0773662137470967,0.0917569786535308,0.5107808107870812,2.5428133957422125,0.1998448160535118,0.1998448160535118,0.6737496622080937,4.612583462117822,0.1998448160535118,0.1314030549953088,1.0,1.0,1.0,-15.659,6.726,,2.5,0.078,,,40.284,11.011,9.6,
STP,2001-07-31,2001,7,0,-0.0043048703859678,0.0654416285086623,0.1164243924559754,0.1956173913043477,0.0115957318853675,0.111507637319704,0.0399068216381379,0.0099210445777812,0.0773844738343145,0.0905150797456633,0.5257022032859087,2.540073123281063,0.1998448160535118,0.1998448160535118,0.6775171724520815,4.609242209942191,0.1998448160535118,0.1314030549953088,1.0,1.0,1.0,-15.659,6.726,,2.5,0.078,,,40.284,11.011,9.6,
STP,2001-08-31,2001,8,0,-0.0098609861657513,-0.0044603055644253,0.0053246648062743,-0.013349552450484,0.009582414144308,0.1118194181408653,0.0273726568323087,0.0090172378032294,0.0775614669415561,0.0786993356494183,0.6004077300713456,2.5374497079995812,0.1998448160535118,0.1998448160535118,0.7131985212557463,4.5778678072272045,0.1998448160535118,0.1314030549953088,0.0,1.0,1.0,-15.659,6.726,,2.5,0.078,,,40.284,11.011,9.6,
STP,2001-09-30,2001,9,0,0.0029279780678508,-0.0037459594946227,0.0064127753414907,-0.0112367812403909,0.0065301655510589,0.1116873869178589,0.00894921728454,0.0091891122885062,0.0775440439089976,0.0809222224928751,0.7251498235110007,2.7482764001720223,0.1998448160535118,0.1998448160535118,0.7057739493338973,4.576506967840449,0.1998448160535118,0.1314030549953088,0.0,1.0,1.0,-15.659,6.726,,2.5,0.078,,,40.284,11.011,9.6,
STP,2001-10-31,2001,10,0,0.0092371622824514,0.0007680513948502,0.0097305591289476,0.0022109734101358,0.0331048399517563,0.0819422397112187,0.1982608695652177,0.004712101317285,0.0756858924443535,0.0262903105682583,2.4150503266403893,5.869404338864386,0.1998448160535118,0.1998448160535118,0.9331410008768248,5.696030820203238,0.1998448160535118,0.1105431428404286,0.0,1.0,1.0,-15.659,6.726,,2.5,0.078,,,40.284,11.011,9.6,
