iso3,date,year,month,dep_1m,dep_mean_3m,dep_vol_3m,dep_cum_3m,dep_mean_6m,dep_vol_6m,dep_cum_6m,dep_mean_12m,dep_vol_12m,dep_cum_12m,dep_skew_6m,dep_kurt_6m,dep_max_6m,dep_es90_6m,dep_skew_12m,dep_kurt_12m,dep_max_12m,dep_es90_12m,extreme_count_3m,extreme_count_6m,extreme_count_12m
ARG,2002-04-30,2002,4,-0.0067796610169491,0.299327414581652,0.2693394326770422,1.0928571428571434,0.2164470989866739,0.24221595902084814,1.9314657328664344,0.10822354949333696,0.19860671370167884,1.9314657328664344,0.09135700654429997,-3.0474441193751103,0.5000000000000002,0.5000000000000002,1.3865106905888558,0.0057489877211258054,0.5000000000000002,0.45238095238095255,2.0,3.0,3.0
ARG,2002-05-31,2002,5,0.2116040955631397,0.20319544643603182,0.20589959719735942,0.6904761904761907,0.2517144482471972,0.21865692145513113,2.5517758879439727,0.1258572241235986,0.19751518626777895,2.5517758879439727,-0.3181861179443706,-2.1699818856163775,0.5000000000000002,0.5000000000000002,1.1208817789314132,-0.5677932188855482,0.5000000000000002,0.45238095238095255,2.0,4.0,4.0
ARG,2002-06-30,2002,6,0.0563380281690142,0.08705415423840158,0.11238539311245402,0.27118644067796627,0.26110411960869956,0.20656090288226886,2.7518759379689857,0.13055205980434978,0.19490396628913353,2.7518759379689857,-0.2931303031832428,-2.0294136987976796,0.5000000000000002,0.5000000000000002,1.1042275413767662,-0.562872845737713,0.5000000000000002,0.45238095238095255,1.0,4.0,4.0
ARG,2002-07-31,2002,7,-0.0266666666666667,0.0804251523551624,0.12094784494592085,0.24573378839590432,0.1898762834684072,0.22191057793422958,1.6071428571428577,0.12832983758212754,0.1966717951776381,2.651825912956479,0.538593833258659,-1.8061475186986828,0.5000000000000002,0.5000000000000002,1.0915771990226284,-0.5822928499153435,0.5000000000000002,0.45238095238095255,1.0,3.0,4.0
ARG,2002-08-31,2002,8,-0.0191780821917807,0.0034977597701889318,0.04591394339091774,0.008450704225352323,0.10334660310311038,0.1725249070349044,0.7047619047619054,0.12673166406614583,0.19788360547679804,2.5817908954477247,1.35396479133339,0.9039872100858171,0.4047619047619049,0.4047619047619049,1.085288904466716,-0.595307751012728,0.5000000000000002,0.45238095238095255,0.0,2.0,4.0
ARG,2002-09-30,2002,9,0.0307262569832402,-0.005039497291735733,0.031199545004742486,-0.015999999999999903,0.04100732847333293,0.08936401665695069,0.2508474576271189,0.12929218548141583,0.19628703072857148,2.6918459229614817,1.820364703995415,3.4789352624797454,0.2116040955631397,0.2116040955631397,1.0816200735672206,-0.583732971008779,0.5000000000000002,0.45238095238095255,0.0,1.0,4.0
ARG,2002-10-31,2002,10,-0.0596205962059619,-0.0160241404715008,0.045255927585003825,-0.04931506849315037,0.03220050594183079,0.09726937800503102,0.18430034129692863,0.12432380246425234,0.20056509590637558,2.4717358679339685,1.5238014907056303,2.5575222029974416,0.2116040955631397,0.2116040955631397,1.0411351731335803,-0.6293241161925514,0.5000000000000002,0.45238095238095255,0.0,1.0,4.0
ARG,2002-11-30,2002,11,0.0345821325648414,0.0018959311140399014,0.05330974858559827,0.0027932960893854997,0.0026968454421144156,0.04450592717041932,0.011267605633803024,0.1272056468446558,0.19885751723922607,2.591795897948976,-0.234839484645174,-1.6141440186346083,0.0563380281690142,0.0563380281690142,1.0326429120963911,-0.6170761077237729,0.5000000000000002,0.45238095238095255,0.0,0.0,4.0
ARG,2002-12-31,2002,12,-0.075208913649025,-0.033415792430048503,0.059401492093082514,-0.10027100271002698,-0.01922764486089212,0.04519229786465739,-0.11466666666666647,0.1209382373739037,0.20434072402396797,2.321660830415209,0.12580128240589175,-1.7025576804565499,0.0345821325648414,0.0345821325648414,0.9824620274673429,-0.676889202019018,0.5000000000000002,0.45238095238095255,0.0,0.0,4.0
ARG,2003-01-31,2003,1,-0.0481927710843372,-0.029606517389506936,0.05720668734501583,-0.089337175792507,-0.022815328930503864,0.046729283241352684,-0.1342465753424653,0.08353047726895167,0.18898119639778438,1.257142857142858,0.3898620372095281,-2.013648064552683,0.0345821325648414,0.0345821325648414,1.5326472176474084,1.2414493616687319,0.5000000000000002,0.45238095238095255,0.0,0.0,3.0
ARG,2003-02-28,2003,2,-0.0063291139240506,-0.04324359955247093,0.03470558206797777,-0.12534818941504156,-0.020673834219215516,0.047221137819969186,-0.12290502793296065,0.041336384441947434,0.1368863508844065,0.49523809523809637,0.18619116643579195,-2.2990537359954453,0.0345821325648414,0.0345821325648414,2.077791380665612,4.35157165603961,0.4047619047619049,0.3081830001625223,0.0,0.0,2.0
ARG,2003-03-31,2003,3,-0.0668789808917197,-0.040466955300035835,0.031005447418162555,-0.11746987951807208,-0.03694137386504217,0.0425542674985676,-0.20596205962059577,0.002032977304145382,0.07816763243517495,-0.0067796610169483795,1.1625211393977268,0.21285065783964052,0.0345821325648414,0.0345821325648414,1.8818424785469376,4.489557444103193,0.2116040955631397,0.13397106186607693,0.0,0.0,1.0
